"","x"
"1","L5"
"2","H6"
"3","EH4"
"4","Acapulcoite"
"5","L6"
"6","LL3-6"
"7","H5"
"8","L"
"9","Diogenite-pm"
"10","Unknown"
"11","H4"
"12","H"
"13","Iron, IVA"
"14","CR2-an"
"15","LL5"
"16","CI1"
"17","L/LL4"
"18","Eucrite-mmict"
"19","CV3"
"20","Ureilite-an"
"21","Stone-uncl"
"22","L3"
"23","Angrite"
"24","LL6"
"25","L4"
"26","Aubrite"
"27","Iron, IIAB"
"28","Iron, IAB-sLL"
"29","Iron, ungrouped"
"30","CM2"
"31","OC"
"32","Mesosiderite-A1"
"33","LL4"
"34","C2-ung"
"35","LL3.8"
"36","Howardite"
"37","Eucrite-pmict"
"38","Diogenite"
"39","LL3.15"
"40","LL3.9"
"41","Iron, IAB-MG"
"42","H/L3.9"
"43","Eucrite"
"44","H4-an"
"45","L/LL6"
"46","Iron, IIIAB"
"47","H/L4"
"48","H4-5"
"49","L3.7"
"50","LL3.4"
"51","Martian (chassignite)"
"52","EL6"
"53","H3.8"
"54","H3-5"
"55","H5-6"
"56","Mesosiderite"
"57","H5-7"
"58","L3-6"
"59","H4-6"
"60","Ureilite"
"61","Iron, IID"
"62","Mesosiderite-A3/4"
"63","CO3.3"
"64","H3"
"65","EH3/4-an"
"66","Iron, IIE"
"67","L/LL5"
"68","H3.7"
"69","CBa"
"70","H4/5"
"71","H3/4"
"72","H?"
"73","H3-6"
"74","L3.4"
"75","Iron, IAB-sHL"
"76","L3.7-6"
"77","EH7-an"
"78","Iron"
"79","CR2"
"80","CO3.2"
"81","K3"
"82","L5/6"
"83","CK4"
"84","Iron, IIE-an"
"85","L3.6"
"86","LL3.2"
"87","CO3.5"
"88","Lodranite"
"89","Mesosiderite-A3"
"90","L3-4"
"91","H5/6"
"92","Pallasite, PMG"
"93","Eucrite-cm"
"94","Pallasite"
"95","L5-6"
"96","CO3.6"
"97","Martian (nakhlite)"
"98","LL3.6"
"99","C3-ung"
"100","H3-4"
"101","CO3.4"
"102","EH3"
"103","Iron, IAB-ung"
"104","Winonaite"
"105","LL"
"106","Eucrite-br"
"107","Iron, IIF"
"108","R3.8-6"
"109","L4-6"
"110","EH5"
"111","LL3.00"
"112","H3.4"
"113","Martian (shergottite)"
"114","Achondrite-ung"
"115","LL3.3"
"116","C"
"117","H/L3.6"
"118","Iron, IIIAB-an"
"119","LL7"
"120","Mesosiderite-B2"
"121","LL4-6"
"122","CO3.7"
"123","L/LL6-an"
"124","Iron, IAB complex"
"125","Pallasite, PMG-an"
"126","H3.9/4"
"127","L3.8"
"128","LL5-6"
"129","LL3.8-6"
"130","L3.9"
"131","L4-5"
"132","L3-5"
"133","LL4/5"
"134","L4/5"
"135","H3.9"
"136","H3.6-6"
"137","H3.8-5"
"138","H3.8/4"
"139","H3.9-5"
"140","CH3"
"141","R3.8-5"
"142","L3.9/4"
"143","E4"
"144","CO3"
"145","Chondrite-ung"
"146","H~5"
"147","H~6"
"148","L/LL3.10"
"149","EL5"
"150","LL3"
"151","L~6"
"152","L~3"
"153","H~4"
"154","L(LL)3.5-3.7"
"155","Iron, IIIE-an"
"156","H3.6"
"157","L3.4-3.7"
"158","L3.5"
"159","CM1/2"
"160","Martian (OPX)"
"161","Brachinite"
"162","LL7(?)"
"163","LL6(?)"
"164","Eucrite-Mg rich"
"165","H3.5-4"
"166","EL3"
"167","R3.6"
"168","H3.5"
"169","CM1"
"170","L/LL3"
"171","H7"
"172","L(?)3"
"173","L3.2"
"174","L3.7-3.9"
"175","Mesosiderite-B1"
"176","LL3.7"
"177","CO3.0"
