"","class","avg_mass","Fell","Found","total_row","pct_of_all"
"1","Acapulcoite",7575,1,28,29,0.091
"2","Acapulcoite/Lodranite",7666,0,3,3,0.009
"3","Achondrite-ung",2896,1,11,12,0.037
"4","Angrite",3347,1,5,6,0.019
"5","Aubrite",5083,9,40,49,0.153
"6","Aubrite-an",7826,0,5,5,0.016
"7","Brachinite",5810,0,9,9,0.028
"8","C",7511,1,7,8,0.025
"9","C1/2-ung",8050,0,1,1,0.003
"10","C2",85,0,1,1,0.003
"11","C2-ung",6602,3,9,12,0.037
"12","C3-ung",6146,1,9,10,0.031
"13","C4",7910,0,2,2,0.006
"14","C4-ung",6918,0,3,3,0.009
"15","C4/5",4970,0,1,1,0.003
"16","C5/6-ung",3227,0,1,1,0.003
"17","C6",4789,0,2,2,0.006
"18","CBa",4253,1,3,4,0.012
"19","CBb",5332,0,4,4,0.012
"20","CH/CBb",2975,0,1,1,0.003
"21","CH3",5507,0,17,17,0.053
"22","Chondrite-fusion crust",582,0,2,2,0.006
"23","Chondrite-ung",4920,0,7,7,0.022
"24","CI1",5710,5,2,7,0.022
"25","CK3",7288,0,5,5,0.016
"26","CK3-an",9428,0,2,2,0.006
"27","CK4",4443,2,39,41,0.128
"28","CK4-an",7549,0,2,2,0.006
"29","CK4/5",6770,0,7,7,0.022
"30","CK5",6189,0,64,64,0.2
"31","CK5/6",6775,0,1,1,0.003
"32","CK6",5467,0,6,6,0.019
"33","CM-an",10138,0,2,2,0.006
"34","CM1",5221,0,9,9,0.028
"35","CM1/2",4827,0,3,3,0.009
"36","CM2",5619,15,266,281,0.877
"37","CO3",6755,0,108,108,0.337
"38","CO3.0",5225,0,3,3,0.009
"39","CO3.2",2075,1,2,3,0.009
"40","CO3.3",4610,1,2,3,0.009
"41","CO3.4",5627,1,2,3,0.009
"42","CO3.5",5733,1,5,6,0.019
"43","CO3.6",6352,1,3,4,0.012
"44","CO3.7",779,1,0,1,0.003
"45","CO3.8",5018,0,1,1,0.003
"46","CR",1726,0,6,6,0.019
"47","CR-an",1735,0,1,1,0.003
"48","CR1",1435,0,1,1,0.003
"49","CR2",5436,2,97,99,0.309
"50","CR2-an",3087,1,0,1,0.003
"51","CV2",6502,0,1,1,0.003
"52","CV3",5709,7,79,86,0.268
"53","CV3-an",5279,0,3,3,0.009
"54","Diogenite",6226,8,117,125,0.39
"55","Diogenite-an",5432,0,1,1,0.003
"56","Diogenite-olivine",4046,0,1,1,0.003
"57","Diogenite-pm",4139,3,3,6,0.019
"58","E",1056,0,3,3,0.009
"59","E-an",3545,0,5,5,0.016
"60","E3",978,0,205,205,0.64
"61","E3-an",3306,0,6,6,0.019
