"","country","avg_mass","Fell","Found","total_row","pct_of_all"
"1","Afghanistan",6107,1,0,1,0.003
"2","Algeria",6193,8,616,624,1.948
"3","Angola",8723,1,0,1,0.003
"4","Antarctica",5884,0,11919,11919,37.203
"5","Argentina",6250,22,959,981,3.062
"6","Armenia",3874,2,0,2,0.006
"7","Australia",6093,17,628,645,2.013
"8","Austria",7226,4,3,7,0.022
"9","Azerbaijan",4262,2,0,2,0.006
"10","Bangladesh",5658,8,0,8,0.025
"11","Belarus",7890,3,2,5,0.016
"12","Belgium",5726,3,0,3,0.009
"13","Bolivia",1877,0,2,2,0.006
"14","Bosnia and Herzegovina",9352,1,1,2,0.006
"15","Botswana",5730,0,4,4,0.012
"16","Brazil",5651,22,35,57,0.178
"17","Bulgaria",6143,6,0,6,0.019
"18","Burkina Faso",5225,9,1,10,0.031
"19","Cambodia",12410,1,0,1,0.003
"20","Cameroon",8493,3,0,3,0.009
"21","Canada",5899,16,46,62,0.194
"22","Central African Republic",108,1,0,1,0.003
"23","Chad",8782,1,2,3,0.009
"24","Chile",5724,1,518,519,1.62
"25","China",5360,58,40,98,0.306
"26","Christmas Island",10667,1,0,1,0.003
"27","Colombia",10169,1,1,2,0.006
"28","Costa Rica",108,1,0,1,0.003
"29","Croatia",3581,3,0,3,0.009
"30","Cuba",694,0,1,1,0.003
"31","Czechia",6540,15,9,24,0.075
"32","Democratic Republic of the Congo",10069,3,0,3,0.009
"33","Denmark",5670,4,2,6,0.019
"34","Ecuador",9864,1,0,1,0.003
"35","Egypt",5278,3,33,36,0.112
"36","Estonia",6176,3,1,4,0.012
"37","Ethiopia",6124,5,1,6,0.019
"38","Finland",4463,5,8,13,0.041
"39","France",6278,62,10,72,0.225
"40","French Southern Territories",4000,0,2494,2494,7.785
"41","Germany",4700,31,17,48,0.15
"42","Ghana",740,1,0,1,0.003
"43","Greece",11376,1,0,1,0.003
"44","Greenland",8875,0,1,1,0.003
"45","Guatemala",8927,0,1,1,0.003
"46","Honduras",4220,0,1,1,0.003
"47","Hungary",5157,7,1,8,0.025
"48","Iceland",10646,0,1,1,0.003
"49","India",5488,125,8,133,0.415
"50","Indonesia",4392,16,3,19,0.059
"51","Iran",4612,2,1,3,0.009
"52","Iraq",9810,2,0,2,0.006
"53","Ireland",5028,5,0,5,0.016
"54","Israel",7892,0,1,1,0.003
"55","Italy",5013,31,6,37,0.115
"56","Jamaica",4409,0,1,1,0.003
"57","Japan",6196,42,12,54,0.169
"58","Jordan",11237,1,0,1,0.003
"59","Kazakhstan",4530,4,9,13,0.041
"60","Kenya",5620,4,224,228,0.712
"61","Latvia",6319,3,0,3,0.009
"62","Lebanon",245,1,0,1,0.003
"63","Lesotho",9504,2,0,2,0.006
"64","Libya",6377,1,1487,1488,4.644
"65","Lithuania",5300,4,0,4,0.012
"66","Madagascar",9810,1,0,1,0.003
"67","Malawi",7790,5,1,6,0.019
"68","Mali",5950,4,30,34,0.106
"69","Mauritania",6591,4,11,15,0.047
"70","Mauritius",4902,1,0,1,0.003
"71","Mexico",6154,19,76,95,0.297
"72","Mongolia",5781,3,6,9,0.028
"73","Montenegro",982,1,0,1,0.003
"74","Morocco",6428,7,156,163,0.509
"75","Myanmar [Burma]",10091,3,0,3,0.009
"76","Namibia",5339,4,16,20,0.062
"77","Netherlands",8514,4,0,4,0.012
"78","New Caledonia",7048,1,0,1,0.003
"79","New Zealand",6589,1,260,261,0.815
"80","Niger",6357,4,28,32,0.1
"81","Nigeria",5481,16,3,19,0.059
"82","North Korea",1319,0,1,1,0.003
"83","Norway",6506,9,4,13,0.041
"84","Oman",6229,0,2996,2996,9.351
"85","Pakistan",7506,15,0,15,0.047
"86","Papua New Guinea",7136,2,0,2,0.006
"87","Paraguay",1,1,0,1,0.003
"88","Peru",5301,1,2,3,0.009
"89","Philippines",6078,4,1,5,0.016
"90","Poland",6208,11,8,19,0.059
"91","Portugal",4726,4,2,6,0.019
"92","Qatar",694,0,1,1,0.003
"93","Réunion",8260,0,1,1,0.003
"94","Romania",7213,8,1,9,0.028
"95","Russia",5535,49,79,128,0.4
"96","Rwanda",8569,1,0,1,0.003
"97","Saudi Arabia",5765,4,9,13,0.041
"98","Serbia",5102,4,1,5,0.016
"99","Slovakia",5108,3,3,6,0.019
"100","Slovenia",4826,2,1,3,0.009
"101","Somalia",3939,2,1,3,0.009
"102","South Africa",5681,17,6427,6444,20.114
"103","South Georgia and the South Sandwich Islands",6235,0,1,1,0.003
"104","South Korea",2033,2,0,2,0.006
"105","South Sudan",3863,3,0,3,0.009
"106","Spain",5135,25,4,29,0.091
"107","Sri Lanka",6500,1,1,2,0.006
"108","Sudan",5238,6,0,6,0.019
"109","Swaziland",6177,1,0,1,0.003
"110","Sweden",816,9,68,77,0.24
"111","Switzerland",6610,4,4,8,0.025
"112","Syria",6171,1,0,1,0.003
"113","Tanzania",4786,9,1,10,0.031
"114","Thailand",5372,3,1,4,0.012
"115","Tunisia",6025,5,28,33,0.103
"116","Turkey",6977,12,1,13,0.041
"117","Turkmenistan",6064,2,4,6,0.019
"118","Uganda",5762,6,1,7,0.022
"119","Ukraine",5932,32,11,43,0.134
"120","United Arab Emirates",5856,0,20,20,0.062
"121","United Kingdom",5101,19,3,22,0.069
"122","United States",6192,147,1510,1657,5.172
"123","Uruguay",8831,1,1,2,0.006
"124","Uzbekistan",4492,2,0,2,0.006
"125","Venezuela",7758,2,1,3,0.009
"126","Vietnam",4267,3,0,3,0.009
"127","Western Sahara",7026,1,23,24,0.075
"128","Yemen",7280,2,23,25,0.078
"129","Zambia",1,1,0,1,0.003
"130","Zimbabwe",8703,2,1,3,0.009
