"","id","name","class","mass","fall","year","lat","long","lat_pretty","long_pretty","country"
"1",1,"Aachen","L5",4622,"Fell",1880,50.775,6.08333," 50.775","   6.083","Germany"
"2",2,"Aarhus","H6",10945,"Fell",1951,56.18333,10.23333," 56.183","  10.233","Denmark"
"3",4,"Abajo","H5",6903,"Found",1982,26.8,-105.41667," 26.800","-105.417","Mexico"
"4",5,"Abbott","H3-6",4625,"Found",1951,36.3,-104.28333," 36.300","-104.283","United States"
"5",6,"Abee","EH4",1452,"Fell",1952,54.21667,-113," 54.217","-113.000","Canada"
"6",7,"Abernathy","L6",4281,"Found",1941,33.85,-101.8," 33.850","-101.800","United States"
"7",8,"Abo","H",1057,"Found",1840,60.43333,22.3," 60.433","  22.300","Finland"
"8",9,"Abu Moharek","H4",7709,"Found",1997,27.23944,29.83583," 27.239","  29.836","Egypt"
"9",10,"Acapulco","Acapulcoite",990,"Fell",1976,16.88333,-99.9," 16.883"," -99.900","Mexico"
"10",11,"Acfer 001","L6",9874,"Found",1989,27.5,3.61667," 27.500","   3.617","Algeria"
"11",12,"Acfer 002","H5",4994,"Found",1989,27.61667,3.85," 27.617","   3.850","Algeria"
"12",13,"Acfer 003","H5",2652,"Found",1989,27.81667,4.03333," 27.817","   4.033","Algeria"
"13",14,"Acfer 004","L6",139,"Found",1989,27.58333,3.81667," 27.583","   3.817","Algeria"
"14",15,"Acfer 005","H3.9/4",1752,"Found",1989,27.6,3.83333," 27.600","   3.833","Algeria"
"15",16,"Acfer 006","H3.9/4",9584,"Found",1989,27.63333,3.96667," 27.633","   3.967","Algeria"
"16",17,"Acfer 007","L5",9443,"Found",1989,27.51667,3.65," 27.517","   3.650","Algeria"
"17",18,"Acfer 008","H5",4569,"Found",1989,27.53333,3.7," 27.533","   3.700","Algeria"
"18",19,"Acfer 009","L6",2095,"Found",1989,27.73333,4.08333," 27.733","   4.083","Algeria"
"19",20,"Acfer 010","L6",5811,"Found",1989,27.75,4.1," 27.750","   4.100","Algeria"
"20",21,"Acfer 011","H5",6308,"Found",1989,27.75,4.16667," 27.750","   4.167","Algeria"
"21",22,"Acfer 012","H6",12498,"Found",1989,27.8,4.16667," 27.800","   4.167","Algeria"
"22",23,"Acfer 013","H5",8797,"Found",1989,27.83333,4.28333," 27.833","   4.283","Algeria"
"23",24,"Acfer 014","H5",6584,"Found",1989,27.8,4.46667," 27.800","   4.467","Algeria"
"24",25,"Acfer 015","L6",12498,"Found",1989,27.78333,4.28333," 27.783","   4.283","Algeria"
"25",26,"Acfer 016","H4-5",1669,"Found",1989,27.71667,4.48333," 27.717","   4.483","Algeria"
"26",27,"Acfer 017","L5",8390,"Found",1989,27.73333,4.4," 27.733","   4.400","Algeria"
"27",28,"Acfer 018","H5",4594,"Found",1989,27.7,4.08333," 27.700","   4.083","Algeria"
"28",29,"Acfer 019","L6",9723,"Found",1989,27.7,4.06667," 27.700","   4.067","Algeria"
"29",30,"Acfer 020","H5",10840,"Found",1989,27.7,4.06667," 27.700","   4.067","Algeria"
"30",31,"Acfer 021","H6",3975,"Found",1989,27.55,3.61667," 27.550","   3.617","Algeria"
"31",32,"Acfer 022","H3.7",3802,"Found",1989,27.51667,3.83333," 27.517","   3.833","Algeria"
"32",33,"Acfer 023","H3.8",1807,"Found",1989,27.51667,3.91667," 27.517","   3.917","Algeria"
"33",34,"Acfer 024","H5",664,"Found",1989,27.55,3.93333," 27.550","   3.933","Algeria"
"34",35,"Acfer 025","H5",12268,"Found",1989,27.58333,3.96667," 27.583","   3.967","Algeria"
"35",36,"Acfer 026","H5/6",11893,"Found",1989,27.61667,4.05," 27.617","   4.050","Algeria"
"36",37,"Acfer 027","H5",4584,"Found",1989,27.66667,4.2," 27.667","   4.200","Algeria"
"37",38,"Acfer 028","H3.8",6153,"Found",1989,27.66667,4.25," 27.667","   4.250","Algeria"
"38",39,"Acfer 029","H4",12498,"Found",1989,27.68333,4.33333," 27.683","   4.333","Algeria"
"39",40,"Acfer 030","LL6",2028,"Found",1989,27.68333,4.41667," 27.683","   4.417","Algeria"
"40",41,"Acfer 031","H5",3903,"Found",1989,27.66667,4.35," 27.667","   4.350","Algeria"
"41",42,"Acfer 032","L6",8816,"Found",1989,27.65,4.46667," 27.650","   4.467","Algeria"
"42",43,"Acfer 033","L6",12285,"Found",1989,27.65,4.43333," 27.650","   4.433","Algeria"
"43",44,"Acfer 034","L6",3598,"Found",1989,27.63333,4.35," 27.633","   4.350","Algeria"
"44",45,"Acfer 035","H6",7187,"Found",1989,27.6,4.3," 27.600","   4.300","Algeria"
"45",46,"Acfer 036","L5/6",1691,"Found",1989,27.58333,4.25," 27.583","   4.250","Algeria"
"46",47,"Acfer 037","LL4-6",7476,"Found",1989,27.55,4.13333," 27.550","   4.133","Algeria"
"47",48,"Acfer 038","H5",12437,"Found",1989,27.53333,4," 27.533","   4.000","Algeria"
"48",49,"Acfer 039","L3.8",4960,"Found",1989,27.53333,3.91667," 27.533","   3.917","Algeria"
"49",50,"Acfer 040","L5-6",2664,"Found",1989,27.46667,3.78333," 27.467","   3.783","Algeria"
"50",51,"Acfer 041","L/LL6",2334,"Found",1989,27.43333,3.71667," 27.433","   3.717","Algeria"
"51",52,"Acfer 042","H5",5313,"Found",1989,27.46667,3.83333," 27.467","   3.833","Algeria"
"52",53,"Acfer 043","H4",1971,"Found",1989,27.51667,3.91667," 27.517","   3.917","Algeria"
"53",54,"Acfer 044","L6",3835,"Found",1989,27.55,4," 27.550","   4.000","Algeria"
"54",56,"Acfer 046","H5",205,"Found",1989,27.78333,4.7," 27.783","   4.700","Algeria"
"55",57,"Acfer 047","L4",636,"Found",1989,27.83333,4.7," 27.833","   4.700","Algeria"
"56",58,"Acfer 048","H4-5",1752,"Found",1989,27.55,4.08333," 27.550","   4.083","Algeria"
"57",59,"Acfer 049","H5",11663,"Found",1989,27.41667,3.71667," 27.417","   3.717","Algeria"
"58",60,"Acfer 050","H6",594,"Found",1989,27.65,4.5," 27.650","   4.500","Algeria"
"59",61,"Acfer 051","L5",12188,"Found",1989,27.61667,4.41667," 27.617","   4.417","Algeria"
"60",62,"Acfer 052","L5",9678,"Found",1989,27.75,4.15," 27.750","   4.150","Algeria"
"61",63,"Acfer 053","H6",1009,"Found",1989,27.73333,4.05," 27.733","   4.050","Algeria"
"62",64,"Acfer 054","H5",3922,"Found",1989,27.7,3.93333," 27.700","   3.933","Algeria"
"63",65,"Acfer 055","H5",534,"Found",1989,27.5,3.98333," 27.500","   3.983","Algeria"
"64",66,"Acfer 056","L4",2133,"Found",1989,27.46667,3.88333," 27.467","   3.883","Algeria"
"65",67,"Acfer 058","LL5-6",5819,"Found",1989,27.38333,3.71667," 27.383","   3.717","Algeria"
"66",68,"Acfer 059","CR2",5913,"Found",1989,27.51667,4.06667," 27.517","   4.067","Algeria"
"67",69,"Acfer 060","H4",4970,"Found",1989,27.56667,4.16667," 27.567","   4.167","Algeria"
"68",70,"Acfer 061","H4-5",1406,"Found",1989,27.6,4.25," 27.600","   4.250","Algeria"
"69",71,"Acfer 062","H5",5924,"Found",1989,27.6,4.41667," 27.600","   4.417","Algeria"
"70",72,"Acfer 063","Mesosiderite",10897,"Found",1989,27.61667,4.56667," 27.617","   4.567","Algeria"
"71",73,"Acfer 064","L5",11809,"Found",1989,27.61667,4.56667," 27.617","   4.567","Algeria"
"72",74,"Acfer 065","H4-5",725,"Found",1989,27.5,4.28333," 27.500","   4.283","Algeria"
"73",75,"Acfer 066","LL3.8-6",9228,"Found",1990,27.63333,4.06667," 27.633","   4.067","Algeria"
"74",76,"Acfer 067","H5",7466,"Found",1990,27.71667,4.78333," 27.717","   4.783","Algeria"
"75",77,"Acfer 068","L6",918,"Found",1990,27.55,3.7," 27.550","   3.700","Algeria"
"76",78,"Acfer 069","L6",12352,"Found",1990,27.53333,3.83333," 27.533","   3.833","Algeria"
"77",79,"Acfer 070","H4/5",2421,"Found",1990,27.68333,4.48333," 27.683","   4.483","Algeria"
"78",80,"Acfer 071","L6",579,"Found",1990,27.63333,4.28333," 27.633","   4.283","Algeria"
"79",81,"Acfer 072","L5/6",3119,"Found",1990,27.63333,4.25," 27.633","   4.250","Algeria"
"80",82,"Acfer 073","H5",3900,"Found",1990,27.53333,3.85," 27.533","   3.850","Algeria"
"81",83,"Acfer 074","L6",7471,"Found",1990,27.48333,3.83333," 27.483","   3.833","Algeria"
"82",84,"Acfer 075","H5",652,"Found",1990,27.51667,3.73333," 27.517","   3.733","Algeria"
"83",85,"Acfer 076","H5",3587,"Found",1990,27.7,4.35," 27.700","   4.350","Algeria"
"84",86,"Acfer 077","L6",4170,"Found",1990,27.63333,4.51667," 27.633","   4.517","Algeria"
"85",87,"Acfer 078","H5",1406,"Found",1990,27.56667,4.15," 27.567","   4.150","Algeria"
"86",88,"Acfer 079","L6",7489,"Found",1990,27.5,3.68333," 27.500","   3.683","Algeria"
"87",89,"Acfer 080","L3.9",9659,"Found",1990,27.63333,4.51667," 27.633","   4.517","Algeria"
"88",90,"Acfer 081","LL5-6",1650,"Found",1990,27.53333,3.86667," 27.533","   3.867","Algeria"
"89",91,"Acfer 082","CV3",4605,"Found",1990,27.5,3.48333," 27.500","   3.483","Algeria"
"90",92,"Acfer 083","L6",10582,"Found",1990,27.48333,3.63333," 27.483","   3.633","Algeria"
"91",93,"Acfer 084","H5",9837,"Found",1990,27.55,3.86667," 27.550","   3.867","Algeria"
"92",94,"Acfer 085","H5",6065,"Found",1990,27.58333,3.95," 27.583","   3.950","Algeria"
"93",95,"Acfer 086","CV3",3365,"Found",1990,27.66667,4.18333," 27.667","   4.183","Algeria"
"94",96,"Acfer 087","CR2",3136,"Found",1990,27.7,4.26667," 27.700","   4.267","Algeria"
"95",97,"Acfer 088","L6",4505,"Found",1990,27.75,4.43333," 27.750","   4.433","Algeria"
"96",98,"Acfer 089","H5",10534,"Found",1990,27.63333,4.3," 27.633","   4.300","Algeria"
"97",99,"Acfer 090","H5",6045,"Found",1990,27.5,3.83333," 27.500","   3.833","Algeria"
"98",100,"Acfer 091","LL5-6",6236,"Found",1990,27.45,4.11667," 27.450","   4.117","Algeria"
"99",101,"Acfer 092","H5",5295,"Found",1990,27.66667,4.51667," 27.667","   4.517","Algeria"
"100",102,"Acfer 093","L5",8161,"Found",1990,27.71667,4.13333," 27.717","   4.133","Algeria"
"101",103,"Acfer 094","C2-ung",11638,"Found",1990,27.73333,4.43333," 27.733","   4.433","Algeria"
"102",104,"Acfer 095","H3.7",1387,"Found",1990,27.71667,4.38333," 27.717","   4.383","Algeria"
"103",105,"Acfer 096","L4-5",9654,"Found",1990,27.61667,4.2," 27.617","   4.200","Algeria"
"104",106,"Acfer 097","CR2",10216,"Found",1990,27.51667,3.96667," 27.517","   3.967","Algeria"
"105",107,"Acfer 098","H5",8902,"Found",1990,27.46667,3.88333," 27.467","   3.883","Algeria"
"106",108,"Acfer 099","H5",6688,"Found",1990,27.45,3.83333," 27.450","   3.833","Algeria"
"107",109,"Acfer 100","H6",2564,"Found",1990,27.46667,3.95," 27.467","   3.950","Algeria"
"108",110,"Acfer 101","L6",8461,"Found",1990,27.53333,4.16667," 27.533","   4.167","Algeria"
"109",111,"Acfer 102","L3-5",7044,"Found",1990,27.66667,4.46667," 27.667","   4.467","Algeria"
"110",112,"Acfer 103","H5",10428,"Found",1990,27.8,4.5," 27.800","   4.500","Algeria"
"111",113,"Acfer 104","H4/5",12564,"Found",1990,27.63333,4.36667," 27.633","   4.367","Algeria"
"112",114,"Acfer 105","L6",7572,"Found",1990,27.55,4.13333," 27.550","   4.133","Algeria"
"113",115,"Acfer 106","LL6",591,"Found",1990,27.5,3.9," 27.500","   3.900","Algeria"
"114",116,"Acfer 107","L6",1406,"Found",1990,27.45,3.75," 27.450","   3.750","Algeria"
"115",117,"Acfer 108","H6",11680,"Found",1990,27.5,3.88333," 27.500","   3.883","Algeria"
"116",118,"Acfer 109","H4/5",5153,"Found",1990,27.55,3.76667," 27.550","   3.767","Algeria"
"117",119,"Acfer 110","L6",1451,"Found",1990,27.48333,3.8," 27.483","   3.800","Algeria"
"118",120,"Acfer 111","H3-6",12530,"Found",1990,27.48333,3.8," 27.483","   3.800","Algeria"
"119",121,"Acfer 112","LL4/5",4783,"Found",1990,27.65,4.03333," 27.650","   4.033","Algeria"
"120",122,"Acfer 113","LL6",4277,"Found",1990,27.56667,4.03333," 27.567","   4.033","Algeria"
"121",123,"Acfer 114","CR2",8206,"Found",1990,27.6,3.96667," 27.600","   3.967","Algeria"
"122",124,"Acfer 115","H6",5956,"Found",1990,27.73333,4.16667," 27.733","   4.167","Algeria"
"123",125,"Acfer 116","L6",7041,"Found",1990,27.73333,4.16667," 27.733","   4.167","Algeria"
"124",126,"Acfer 117","H4",3432,"Found",1990,27.73333,4.2," 27.733","   4.200","Algeria"
"125",127,"Acfer 118","L6",11114,"Found",1990,27.66667,4.2," 27.667","   4.200","Algeria"
"126",128,"Acfer 119","H3.8",1991,"Found",1990,27.65,4.23333," 27.650","   4.233","Algeria"
"127",129,"Acfer 120","LL6",11843,"Found",1990,27.65,4.3," 27.650","   4.300","Algeria"
"128",130,"Acfer 121","L5-6",8195,"Found",1990,27.68333,4.33333," 27.683","   4.333","Algeria"
"129",131,"Acfer 122","L4/5",5143,"Found",1990,27.5,3.66667," 27.500","   3.667","Algeria"
"130",132,"Acfer 123","H3.9",8461,"Found",1990,27.46667,3.76667," 27.467","   3.767","Algeria"
"131",133,"Acfer 124","LL5-6",9443,"Found",1990,27.6,4.05," 27.600","   4.050","Algeria"
"132",134,"Acfer 125","L6",6207,"Found",1990,27.68333,4.35," 27.683","   4.350","Algeria"
"133",135,"Acfer 126","LL5-6",5900,"Found",1990,27.51667,3.8," 27.517","   3.800","Algeria"
"134",136,"Acfer 127","L6",10602,"Found",1990,27.7,4.3," 27.700","   4.300","Algeria"
